"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Apatosaurus","Apatosaurus louisae","Kimmeridgian","Tithonian",157.3,145,151.15,-105.187332,39.653423
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hispanosauropus","Hispanosauropus hauboldi","Kimmeridgian","",157.3,152.1,154.7,-5.076468,43.468056
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hispanosauropus","Hispanosauropus hauboldi","Kimmeridgian","",157.3,152.1,154.7,-5.249015,43.498878
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Elongatoolithidae","Macroolithus","Macroolithus rugustus","Maastrichtian","",72.1,66,69.05,99.926941,43.720554
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Elongatoolithidae","Macroolithus","Macroolithus rugustus","Maastrichtian","",72.1,66,69.05,84.0047,47.5919
"Chordata","Saurischia","NO_ORDER_SPECIFIED","Diplodocidae","Diplodocus","Diplodocus carnegii","Kimmeridgian","Tithonian",157.3,145,151.15,-105.916199,42.152302
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Patagopteryx","Patagopteryx deferrariisi","Santonian","",86.3,83.6,84.95,-68.234169,-38.953888
"Chordata","Aves","NO_ORDER_SPECIFIED","Avisauridae","Neuquenornis","Neuquenornis volans","Santonian","",86.3,83.6,84.95,-68.234169,-38.953888
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus","Dilophosaurus wetherilli","Sinemurian","Pliensbachian",199.3,182.7,191,-110.32,36.145279
"Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus","Dilophosaurus wetherilli","Sinemurian","Pliensbachian",199.3,182.7,191,-110.300003,36.099998
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Graciliceratops","Graciliceratops mongoliensis","Cenomanian","Santonian",100.5,83.6,92.05,101.331947,43.938889
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","Protoceratopsidae","Bagaceratops","Bagaceratops rozhdestvenskyi","Middle Campanian","Late Campanian",83.5,70.6,77.05,99.75,43.25
"Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Gobipteryx","Gobipteryx minuta","Middle Campanian","Late Campanian",83.5,70.6,77.05,101.125,43.487499
"Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Eolambia","Eolambia caroljonesa","Early Cenomanian","",99.6,93.5,96.55,-111,39
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,24.633301,-27.616699
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,25.549999,-28.6667
"Chordata","Aves","Struthioniformes","Struthionidae","Struthio","Struthio camelus","Holocene","",0.0117,0,0.00585,29.0833,25.799999
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.766701
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
"Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","Pleistocene","",2.588,0.0117,1.29985,32.950001,24.4333
