x
Arctocephalus pusillus
Neophoca cinerea
Phocarctos hookeri
Arctocephalus galapagoensis
Arctocephalus australis
Arctocephalus forsteri
Arctocephalus tropicalis
Arctocephalus gazella
Arctocephalus townsendi
Arctocephalus philippii
Otaria bryonia
Mydaus marchei
Mydaus javanensis
Spilogale putorius
Spilogale gracilis
Mephitis mephitis
Mephitis macroura
Conepatus leuconotus
Conepatus semistriatus
Conepatus chinga
Potos flavus
Procyon lotor
Procyon cancrivorus
Bassariscus sumichrasti
Bassariscus astutus
Nasua nasua
Nasua narica
Nasuella meridensis
Nasuella olivacea
Bassaricyon neblina
Bassaricyon medius
Bassaricyon gabbii
Bassaricyon alleni
Taxidea taxus
Martes pennanti
Martes flavigula
Martes foina
Martes melampus
Martes zibellina
Martes martes
Martes americana
Gulo gulo
Eira barbara
Melogale personata
Melogale moschata
Melogale cucphuongensis
Mustela strigidorsa
Mustela nudipes
Mustela kathiah
Mustela erminea
Mustela itatsi
Mustela sibirica
Mustela lutreola
Mustela nigripes
Mustela putorius
Mustela eversmanii
Mustela nivalis
Mustela altaica
Neovison vison
Mustela frenata
Mustela africana
Mustela felipei
Vormela peregusna
Poecilogale albinucha
Ictonyx striatus
Ictonyx libyca
Lyncodon patagonicus
Galictis vittata
Galictis cuja
Pteronura brasiliensis
Lontra longicaudis
Lontra provocax
Lontra felina
Lontra canadensis
Enhydra lutris
Lutra sumatrana
Lutra lutra
Lutrogale perspicillata
Aonyx cinerea
Aonyx capensis
Lutra maculicollis
Mellivora capensis
Meles meles
Meles leucurus
Meles anakuma
Arctonyx collaris
Ailurus fulgens
Helarctos malayanus
Melursus ursinus
Ursus thibetanus
Ursus americanus
Ursus spelaeus
Ursus deningeri
Ursus maritimus
Ursus arctos
Tremarctos ornatus
Arctodus simus
Ailuropoda melanoleuca
Nandinia binotata
Hyaena hyaena
Hyaena brunnea
Crocuta crocuta
Proteles cristata
Salanoia durrelli
Salanoia concolor
Mungotictis decemlineata
Galidictis fasciata
Galidia elegans
Fossa fossana
Eupleres goudotii
Cryptoprocta ferox
Suricata suricatta
Mungos mungo
Liberiictis kuhni
Helogale parvula
Helogale hirtula
Crossarchus alexandri
Crossarchus ansorgei
Crossarchus obscurus
Crossarchus platycephalus
Herpestes ichneumon
Herpestes pulverulentus
Herpestes sanguineus
Herpestes flavescens
Ichneumia albicauda
Paracynictis selousi
Cynictis penicillata
Bdeogale nigripes
Bdeogale crassicauda
Rhynchogale melleri
